asset_type,asset_sub_type,asset_sub_type_description,business_function,business_activity,retention_period,retention_reason,security_title,action_on_expiry,reason_for_action,appraisal_criteria,authorised_by,authorisation_date,master,classification_code,notes,keywords
Documents,Post Production Scripts,including marked up,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,Final Scripts to I&A,
Documents,Production Daily Progress Report,,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-002,,
Documents,CRB Application Form,"Form for CRB clearance - contains sensitve information - name, address, date and place of birth, NI, driving licence, passsport numbers and vetting info. Signed by applicant and completed by BBC.",PERSONNEL,Recruitment,Until Completed,Business Need,Restricted Access,Send to CRB,Business Need,N/A,Vision,01/05/2011,CRB,N/A,Applicant fills out form. BBC completes.,
Documents,Indemnities/Waivers,,FINANCE,Insurance,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,Insurance Services,01/06/2012,Insurance Services,FN-Insurance-012,,
Documents,Non Service Approvals,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need, N/A,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-GovRels,,
Documents,Financial Tracking Sheet,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Project Team Meeting Minutes,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Information and Archives Projects Office,SM-ProjectMan-001,,
Documents,Draft Agreements,,LEGAL AND CONTRACTS,Conveyancing,6 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Property Legal,01/04/2006,Legal Department,LC-Conveyance-007,,
Documents,Programme Development Records,"including development scripts, marketing, proposal, ideas, creative brief",PRODUCTION,Programme Development,5 years,Business Need,Editorially Sensitve,Review,Business Need,N/A,_Records Management,01/05/2006,Production Office,PR-ProgDev,,
Documents,Contributor Consent Forms,"Form signed by contributor allowing use of contribution to a programme. Also known as Release Forms, Blood Chits.",COMMUNICATIONS AND MARKETING,Events,6 years,Limitation Act,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/01/2011,Departments,CM-Events-003,Only retain longer if claim made,
Documents,Contributor Consent Forms,"Form signed by contributor allowing use of contribution to a programme. Also known as Release Forms, Blood Chits.",PRODUCTION,Talent Management,Permanent,Limitation Act,Restricted Access,Archive,Reuse,N/A,_Records Management,01/09/2009,Talent & Rights Negotiation Group,PR-TalentMan-004,Hard copy held by I&A. Anon held on The Core.,
Documents,Investment Policies,,PERSONNEL,Pensions,Benefit end+12,Limitation Act,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007,Pensions,PE-Pensions-015,,
Documents,Payment Changes,,PERSONNEL,Pensions,6 years,Limitation Act,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007,Pensions,PE-Pensions-017,,
Documents,Payroll Control,,PERSONNEL,Pensions,6 years,Limitation Act,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007,Pensions,PE-Pensions-009,,
Documents,Web and App Registration Data,"User ID and profile data, comments, browsing/usage history, preferences, personal contact details.",COMMUNICATIONS AND MARKETING,Public Relations,12 months after last activity,Business Need,Restricted Access,Add to Suppression List and/or Destroy,Data Protection Act,N/A,_Records Management,01/10/2016,FM&T,CM-PublicRels-007,"12 months since last sign-in or last opened email, but excluding published data ie comments. Parental consent management cease once user reaches 18 or once the child has turned 16 and unlinked the parent account, and related information be put through the retention/deletion analysis.  ",
Documents,Insurance Correspondence,Insurance Correspondence includes no claims bonus correspondence and AON correspondence,FINANCE,Insurance,7 years,Limitation Act,Restricted Access,Destroy,No Further Value,N/A,Insurance Services,01/01/2011,Insurance Services,FN-Insurance-010,,
Documents,Travel Health Forms,,PERSONNEL,Health and Safety,7 years,BBC Best Practice,Restricted Access,Destroy,No Further Value,N/A,Health and Safety,01/05/2011,Production Office,PE-HealthSafe-040,,
Documents,Competitions (Other than PRT),"Lists of Competition entrants, competition winners, non-winners etc.",COMMUNICATIONS AND MARKETING,Public Relations,2 years,Business Need,Restricted Access,Review,Legal,N/A,_Records Management,01/05/2011,Production Office,CM-PublicRels-012,If no audit then destroy. Children's competition entry forms should be destroyed 6 months after competition has completed.  ,
Documents,Logs,"Shotlists, VT Log - overview of tape content, Rushes Logs",PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,Keep rushes logs as long as rushes are retained,
Documents,Select Committees - Final Documents,,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Policy,EA-GovRels,Can be published once published online by House of Commons,
Documents,Select Committees - Internal Briefing Notes,,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Affairs,EA-GovRels,May prejudice effective conduct of Public Affairs,
Documents,Select Committees - Evidence Submitted,,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Policy,EA-GovRels,Can be published once published online by House of Commons ,
Documents,Guidelines,"Record of procedures, standards or instructions for a specific principle or action",STRATEGIC MANAGEMENT AND DIRECTION,Executive Business,Until Superseded,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005, N/A,SM-Policy-004,,
Documents,Liaison with Regulatory Bodies,,EXTERNAL ACCOUNTABILITY,Regulation,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007, N/A,EA-Regulation,,
Documents,Standards,Document setting out an approved or accepted example of something against which others are judged or measured. Includes standards for management records.,STRATEGIC MANAGEMENT AND DIRECTION,Policy,Until Superseded,Business Need,Non-Restricted,Review,BBC Best Practice,N/A,_Records Management,01/08/2013,Departments,SM-Policy-004,,
Documents,Revenue Approvals,,FINANCE,Funding,5 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,World Service,01/11/2004,World Service Finance,FN-Funding,General information re funding available in the Annual report,
Documents,Access to Restricted Material,,INFORMATION MANAGEMENT,Information Security,Permanent,Business Need,Restricted Access,Archive,Business Need,N/A,Information Security,01/08/2009, N/A,IM-InfoSec-016,,
Documents,Price Lists,,FINANCE,Sales,Period of business/administrative need,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/06/2007, N/A,FN-Sales,,
Documents,Reports and Surveys,,COMMUNICATIONS AND MARKETING,Licence Fee,5 years,Business Need,Restricted Access,Review,Business Need, No Appraisal Criteria at present,_Records Management,01/09/2008,Licence Fee Unit,CM-LicenceFee,,
Documents,Handover Briefings,"includes personal notes, pst of emails",PERSONNEL,Employment Management,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/01/2008, N/A,PE-EmployMan,,
Documents,Filming Schedules,see also Call Sheets,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-002,,
Documents,Project Board,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Action Logs,,INFORMATION MANAGEMENT,Records Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Official Boards and Committees - Complaint Handling,,EXTERNAL ACCOUNTABILITY,Complaints,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/05/2006, N/A,EA-Complaints,,
Documents,External Loans,,INFORMATION MANAGEMENT,External Liaison,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2006, N/A,IM-ExtLiaison-005,,
Documents,Data Protection Complaints,,LEGAL AND CONTRACTS,Compliance,Permanent,Legal,Restricted Access,Archive,NULL,N/A,_Records Management,01/05/2006, N/A,LC-Compliance-004,,
Documents,FOI Complaints,,LEGAL AND CONTRACTS,Compliance,Permanent,Legal,Restricted Access,Archive,NULL,N/A,_Records Management,01/05/2006,Information Policy and Compliance,LC-Compliance-010,,
Documents,Manuals,Books containing instructions or guidelines,PROPERTY AND SERVICES,Development,3 years,BBC Best Practice,Non-Restricted,Review,BBC Best Practice,N/A,BBC Workplace,01/10/2004,Departments,PS-Developmen-006,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,FINANCE,Accounting,3 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/09/2008, N/A,FN-Accounting-032,,
Documents,Tender Evaluation Records,"Includes invitations to tender, evaluation of bids, scoring spreadsheets, analysis.",FINANCE,Tendering,6 years,Limitation Act,Restricted Access,Destroy,BBC Best Practice,N/A,Legal,01/05/2013,Procurement,FN-Tendering-005,"Includes invitations to tender, evaluation of bids, scoring spreadsheets, analysis.",
Documents,User Comments,Received on message boards and published to websites,COMMUNICATIONS AND MARKETING,Public Relations,1 Month,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,News Division,01/09/2009,News,N/A,NULL,
Documents,Editorial Standard Committee Bulletins,Bulletins from the Editorial Standards Committee that contain information about upheld appeals.,EXTERNAL ACCOUNTABILITY,Complaints,Permanent,Business Need, N/A,Archive,Possible Historical Interest,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Complaints-001,Bulletins from the Editorial Standards Committee that contain information about upheld appeals,
Documents,Contact Lists - Child Contributors,"Details of individuals and can include name, address phone number. Contributors and actors",PRODUCTION,Content Creation,End of Production+6 Months,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/06/2013, N/A,CM-Communicat-009,,
Documents,Contact Lists - Child Audience Members,"Details of individuals and can include name, address phone number",PRODUCTION,Content Creation,Transmission+1,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/06/2013, N/A,CM-Communicat-009,Retention: transmission date + 1 month,
Documents,Service Licences,,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Business Need, N/A,Archive,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Accountab,,
Documents,Investigation Cases,"Records relating to the investigation of criminal activities of staff - such as theft, fraud",LEGAL AND CONTRACTS,Investigation,6 years,Business Need,Restricted Access,Review,Business Need,N/A,Investigations Unit,01/01/2012,Investigations Unit,LC-Investig-002,,
Documents,Online Behavioural Tracking (via Cookies and Web Beacons),"User's ID address, UID, browsing history, operating system and browser information.",COMMUNICATIONS AND MARKETING,Public Relations,12 months after last activity,Business Need,Restricted Access,Add to Suppression List and/or Destroy,Data Protection Act,N/A,_Records Management,01/10/2016,FM&T,CM-PublicRels-006,"If completely anonymised, data can be retained indefinitely, otherwise retained for 12 months after last sign in or activity. If a user requests deletion, please refer to section 6 of this policy. Note that for non-signed in users, any tracking is carried out anonymously and they can stop this by changing their browser settings (but we cannot, nor are we legally obliged to, remove the anonymised data that we hold on them).  Local MyBBC retention schedule has entry for anonymised records with a 5 year review period.",
Documents,Change Control,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-004,,
Documents,Forms and Templates,,INFORMATION MANAGEMENT,Control,Expiry,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2010, N/A,IM-Control-002,,
Documents,Filming Records,"Includes Filming Permits, Filming Kit, Locations, Outside Broadcasts, Studios, Camera script, Call Sheets, Continuity Logs, Secret Filming Forms, Booking Film Crews",PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,Production,01/05/2011,Production Office,PR-Content-012,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,BROADCASTING,Scheduling,3 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/05/2005, N/A,BD-Scheduling-004,,
Documents,Commercial Service Approvals,,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need, N/A,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-GovRels,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Strategy and Distribution,01/10/2004, N/A,SM-Execbus-004, ,
Documents,Contributor Correspondence,"includes writers, artists, freelances",PRODUCTION,Talent Management,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005,Departments,PR-TalentMan-015 ,,
Documents,Data Cleaning Records,,INFORMATION MANAGEMENT,Records Management,Period of business/administrative need,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/06/2007, N/A,IM-Maintenanc-001,,
Documents,Credits,,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,,
Documents,National Audit Office Reports,,FINANCE,Auditing,5 years,Business Need,Restricted Access,Review,Business Need, No Appraisal Criteria at present,Procurement,01/06/2013, N/A,FN-Auditing-002,,
Documents,Final Programme DVD Requests,,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,,
Documents,Aston Lists,,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,,
Documents,Production Bible,Document detailing how a programme was produced,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,Reuse,N/A,_Records Management,01/05/2011,Production Office,PR-Content-015,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,BROADCASTING,Transmission,5 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Strategy and Distribution,01/09/2005, N/A,CM-Communicat-015,,
Documents,Freelance Correspondence,,PRODUCTION,Talent Management,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Vision,01/05/2011,Departments,PR-TalentMan-015 ,,
Documents,Cast Forms,"Contains personal details of actors, agents, writers",PRODUCTION,Talent Management,End of Production,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/05/2011,Production Office,PR-TalentMan-005, ,
Documents,Liaison with Unions,Communication between one party and another by letter or e-mail,PERSONNEL,Unions,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/04/2005,Departments,PE-Unions-001,"includes correspondence, meetings",
Documents,Terms of Reference - Committees,,EXTERNAL ACCOUNTABILITY,Regulation,Until Superseded,Business Need, N/A,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Regulation-022,For Committee meetings only - Project ToR can be included with project papers.,
Documents,Trust Complaints Protocols,,EXTERNAL ACCOUNTABILITY,Complaints,Permanent,Business Need, N/A,Archive,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Complaints-002,See also Trust Protocols.,
Documents,Trustee Board Evaluations - Responses and Analysis,Restricted solely to the Director of the BBC Trust and Head of Governance.,EXTERNAL ACCOUNTABILITY,Regulation,20 years,Business Need, N/A,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Regulation-018,Restricted soleley to the Director of the BBC Trust and the Head of Governance.,
Documents,Trustee Board Evaluations - Supporting Material,Needed for reference until end of the next charter.,EXTERNAL ACCOUNTABILITY,Regulation,Permanent,Business Need, N/A,Archive,Business Need,N/A,BBC Trust,01/06/2013, N/A,EA-Regulation-019,Needed for reference until end of next charter,
Documents,Trustee Meetings,,EXTERNAL ACCOUNTABILITY,Regulation,3 years,Charter and Agreement,Restricted Access,Review,BBC Best Practice,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Regulation-012,,
Documents,Broadcast Appeals Cases, ,EXTERNAL ACCOUNTABILITY,Broadcast Appeals,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007,Appeals,EA-BroadApp,Appeals applications can be destroyed after 7 years,
Documents,Outage Reports,Report on transmitter downtime,BROADCASTING,Transmission,5 years,Legal,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Strategy and Distribution,01/09/2005, N/A,BD-Transmiss,,
Documents,Final Documents,"Documents relating to final approved design. May include correspondence, plans and reports",PROPERTY AND SERVICES,Design,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,BBC Workplace,01/10/2004, N/A,PS-Design-002, ,
Documents,Reviews,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007, N/A,EA-Accountab-017,,
Documents,Asset Registers, ,FINANCE,Accounting,7 years,Companies Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,End of Year Stock Records, ,FINANCE,Accounting,7 years,Companies Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Plans, ,FINANCE,Forecasting,Until Superseded,Business Need, N/A,Destroy,BBC Best Practice,N/A,NULL,01/11/2004, N/A,FN-Expendit, ,
Documents,Plans, ,FINANCE,Budgeting,7 years,Statutory,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Budget, ,
Documents,Delivery Notes, ,FINANCE,Accounting,7 years,Value Added Tax Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Goods Received Notes, ,FINANCE,Accounting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Purchase Invoices, ,FINANCE,Accounting,7 years,Value Added Tax Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Debtor Accounts, ,FINANCE,Accounting,7 years,Companies Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Cheques, ,FINANCE,Banking,7 years,Limitation Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/06/2002,SAP,FN-Accounting,,
Documents,Public Liability Policies, ,FINANCE,Insurance,Permanent,Limitation Act, N/A,Archive,BBC Best Practice,N/A,Finance,01/11/2004, N/A,FN-Insurance-004, ,
Documents,Product Liability Policies, ,FINANCE,Insurance,Permanent,Limitation Act, N/A,Archive,BBC Best Practice,N/A,Finance,01/11/2004, N/A,FN-Insurance-004, ,
Documents,Employers Liability Policies, ,FINANCE,Insurance,Permanent,Limitation Act, N/A,Archive,BBC Best Practice,N/A,Finance,01/11/2004, N/A,FN-Insurance-004, ,
Documents,Policies, ,FINANCE,Insurance,Until Claims are Barred,Limitation Act, N/A,Destroy,BBC Best Practice,N/A,Finance,01/11/2004, N/A,N/A, ,
Documents,Claims, ,FINANCE,Insurance,Settlement+3,Limitation Act, N/A,Destroy,BBC Best Practice,N/A,Finance,01/11/2004, N/A,FN-Insurance-001, ,
Documents,Group Policies, ,FINANCE,Insurance,Expiry+12,Limitation Act, N/A,Destroy,BBC Best Practice,N/A,Finance,01/11/2004, N/A,FN-Insurance-002, ,
Documents,Renewals, ,FINANCE,Insurance,Renewal+10,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,Insurance Services,01/01/2011,Insurance Services,FN-Insurance-006, ,
Documents,Insurance Register, ,FINANCE,Insurance,Until Superseded,Limitation Act, N/A,Destroy,BBC Best Practice,N/A,Finance,01/11/2004, N/A,FN-Insurance-003, ,
Documents,Radio Car Bases, ,BROADCASTING,Transmission,5 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Strategy and Distribution,01/09/2005, N/A,BD-Transmiss,,
Documents,Network Tests, ,BROADCASTING,Transmission,5 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Strategy and Distribution,01/09/2005, N/A,BD-Transmiss,,
Documents,Reports,Written account of an investigation or collation of results,BROADCASTING,Transmission,5 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Strategy and Distribution,01/09/2005, N/A,BD-Transmiss,,
Documents,Technical Investigations, ,BROADCASTING,Transmission,5 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,Strategy and Distribution,01/09/2005, N/A,BD-Transmiss,,
Documents,Divisional Objectives, ,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,3 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Strategy and Distribution,01/10/2004, N/A,SM-Strategy-006, ,
Documents,Project Plans,"Document providing the baseline against which progress can be measured. Includes what products/services are needed and in what sequence, what activities are necessary, how long each will take and who does what. Also includes costs and dependencies.",INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Review,Possible Historical Interest,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Departmental Budgets, ,FINANCE,Budgeting,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2005,SAP,FN-Budget,,
Documents,Annual Report Documentation, ,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need,Restricted Access,Review,Business Need,N/A,BBC Trust,01/04/2013, N/A,EA-Accountab-00M,,
Documents,Commitment, ,EXTERNAL ACCOUNTABILITY,Fair Trading,5 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Fair Trading,EA-FairTradin,Published in hard copy and on internet and intranet,
Documents,Audits, ,EXTERNAL ACCOUNTABILITY,Fair Trading,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Fair Trading,EA-FairTradin,Restricted due to commercial interests,
Documents,Community Involvement Programme, ,EXTERNAL ACCOUNTABILITY,Corporate Social Responsibility,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Corporate Social Responsibility,EA-CorpSocial,,
Documents,Returns, ,EXTERNAL ACCOUNTABILITY,Fair Trading,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,Policy,01/12/2004,Fair Trading,EA-FairTradin-011,Restricted due to commercial interests,
Documents,Office of Fair Trading, ,EXTERNAL ACCOUNTABILITY,Fair Trading,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Fair Trading,EA-FairTradin,Can be assessed case by case if published by competition authority. May prejudice effective conduct of Public Affairs,
Documents,Competition Commission, ,EXTERNAL ACCOUNTABILITY,Fair Trading,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Fair Trading,EA-FairTradin,Can be assessed case by case if published by competition authority. May prejudice effective conduct of Public Affairs,
Documents,Charter Review Final Submissions, ,EXTERNAL ACCOUNTABILITY,Charter,Permanent,Charter and Agreement,Public Access,Archive,Historical,N/A,BBC Trust,01/06/2003,Charter Renewal Team,EA-Charter-004,,
Documents,Charter Review Leaflets, ,EXTERNAL ACCOUNTABILITY,Charter,5 years,Charter and Agreement,Public Access,Review,Possible Historical Interest,N/A,BBC Trust,01/06/2003,Charter Renewal Team,EA-Charter-005,,
Documents,Internal Policy Advice, ,STRATEGIC MANAGEMENT AND DIRECTION,Policy,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2003,Public Policy,SM-Policy,Restricted due to the effective conduct of public affairs. Commercial Interests.,
Documents,Parliamentary Events, ,EXTERNAL ACCOUNTABILITY,Parliamentary and Political Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Affairs,EA-ParlRels,May prejudice effective conduct of Public Affairs,
Documents,Accounting Records,"Records relating to the management of the BBC's revenue and expenditure. Includes Accounts Payable, Accounts Receivable,",FINANCE,Accounting,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007,Finance,FN-Accounting,,
Documents,DCMS Routines, ,EXTERNAL ACCOUNTABILITY,Government Relations,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004, N/A,EA-GovRels-005,,
Documents,Public Consultations on New Services and Variations of Services, ,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,DCMS,EA-GovRels,Already on internet and intranet ,
Documents,Responses to Government and EU Consultations, ,EXTERNAL ACCOUNTABILITY,European Relations,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Policy,01/12/2004,European Policy,EA-EuroRels,Availble when published by Government,
Documents,Audience Champion Records, ,COMMUNICATIONS AND MARKETING,Public Relations,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,BBC Workplace,01/11/2004, N/A,CM-AudResearc, ,
Documents,Audience Services Strategy, ,COMMUNICATIONS AND MARKETING,Public Relations,5 years,Business Need, N/A,Review,Business Need,N/A,BBC Workplace,01/11/2004, N/A,SM-Strategy, ,
Documents,Material for web publication, ,PERSONNEL,Internal Communication,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007,Departments,CM-Communicat-003,,
Documents,Material for web publication, ,COMMUNICATIONS AND MARKETING,External Liaison,Until Superseded,Business Need,Restricted Access,Review,Business Need, No Appraisal Criteria at present,_Records Management,01/03/2007,Departments,CM-Communicat-003,,
Documents,Surveyor Records, ,PROPERTY AND SERVICES,Estate Management,Sale+10,Limitation Act,Restricted Access,Destroy,No Further Value,N/A,BBC Workplace,01/10/2004, N/A,PS-EstateMan-008, ,
Documents,Project Files, ,PROPERTY AND SERVICES,Refurbishment,Completion of project+1,BBC Best Practice, N/A,Destroy,No Further Value,N/A,BBC Workplace,01/10/2004, N/A,PS-Refurbish,,
Documents,Facilities Management Meetings, ,PROPERTY AND SERVICES,Estate Management,3 years,BBC Best Practice,Restricted Access,Review,No Further Value,N/A,BBC Workplace,01/10/2004,Land Securities Trillium,PS-EstateMan, ,
Documents,Partnership Details, ,PROPERTY AND SERVICES,Joint Ventures,5 years,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,BBC Workplace,01/10/2004,Land Securities Trillium,PS-JointVent-004,Do not Publish Money info/ some info published in various journals,
Documents,Architectural Plans, ,PROPERTY AND SERVICES,Development,Permanent,Business Need,Restricted Access,Archive,Possible Historical Interest,N/A,BBC Workplace,01/10/2004,Land Securities Trillium,PS-Developmen-002,Some may be published,
Documents,Image Gallery of Building Work, ,PROPERTY AND SERVICES,Development,Completion of project,BBC Best Practice,Public Access,Review,Possible Historical Interest,N/A,BBC Workplace,01/10/2004,BBC Workplace,PS-Developmen,We publish reports,
Documents,Building Project Details, ,PROPERTY AND SERVICES,Development,Completion of project,BBC Best Practice,Public Access,Review,Possible Historical Interest,N/A,BBC Workplace,01/10/2004,Land Securities Trillium,PS-Developman-004,Published on building the bbc ,
Documents,Property Vision, ,PROPERTY AND SERVICES,Strategy,5 years,BBC Best Practice,Public Access,Review,Possible Historical Interest,N/A,BBC Workplace,01/10/2004,BBC Workplace,SM-Strategy,We Publish reports,
Documents,Survey Records, ,PROPERTY AND SERVICES,Acquisition,Sale+10,Limitation Act,Restricted Access,Destroy,No Further Value,N/A,BBC Workplace,01/10/2004, N/A,PS-EstateMan-008, ,
