type,type_value,Description
Appraisal_Criteria,Published Audio - Web,"Unique audio web content will be selected and managed as separate assets. This includes:<p></p>    • Specially recorded (unique) material which has re-use value outside of its original context or is a representative example of the range of output.  • Extra/extended material of a linear broadcast (such as the Proms).  • Any high profile or controversial material.   • Interviews with significant/high profile people that provide extra/extended material not shown on linear platforms.   • Unique material of Interviews with significant / high profile people not used for a linear platform.   • Music/hub/live sessions <p></p>        The following material will <b>not</b> be selected for the archive:<p></p>    •Non unique content: preview clips, clips sourced from linear TV, Radio or News programmes, complete programmes already broadcast on linear platforms or on red button.   • Vox pops.   • Non BBC IPR material<p></p>      See the <a href=""https://intranet.gateway.bbc.co.uk/policy/Pages/radio-and-published-audio-policy.aspx"">Radio and Published Audio Policy</a>.      "
Appraisal_Criteria,Unpublished Audio - Music Sessions,"Select all clean versions of BBC studio sessions and BBC recordings of festivals, concerts and events where not all material was broadcast. This applies to all genres of music.  "
Appraisal_Criteria,Podcasts and Downloads,Retain:  • First and last for any programme or service<p></p>     • An example from each broadcast series<p></p>     • Podcasts that demonstrate technological advancement <p></p>     • Continuing series should be sampled quarterly<p></p>   • Any podcasts considered controversial or high profile<p></p>   
Appraisal_Criteria,Trails and Promotional Audio,"Selected examples should be added to the Archive. This includes:<p></p>    • Examples of ‘station sound’ and branding/re-branding (jingles, beds, stings, promotional trails).   • Trails for new series, programmes/shows, presenters, BBC campaigns and seasons (e.g. The White Season, Poetry Season)   • Examples of BBC cross-promotional trails for services (Radio 3, iPlayer)  "
Appraisal_Criteria,Unpublished Audio - Interviews,"Select unedited interviews with significant people, public figures, particularly those not  already, or not recently represented in the archive. Interviews conducted for long-form documentaries and features.  Substantial and wide-ranging subject matter. Interviews covering the subject’s experiences, ‘life and works’, professional and personal life.   Street interviews with members of the public are not required for the Archive."
Appraisal_Criteria,Unpublished Audio,"Assets should be initally kept for reuse value for repeats, re-versions, downloads or for use in new output.<p></p>    Assets should only be selected for long term archiving if they can be reused by other BBC archive users or if they have historical value (even where they may be editorially sensitive):<p></p>    • <b>Interviews:</b> Select unedited interviews with significant people and/or public figures, particularly those not already, or recently represented, in the archive. This will include interviews conducted for long-form documentaries and features which cover the subject’s experiences, professional and personal life, their careers, or subjects that they have an expertise in, all of which will provide value to the wider BBC and not just the production.    Promotional interviews undertaken for chat shows or discussion programmes do not generally have much long-term value. Unpublished vox pops are not required for the Archive.<p></p>    • <b>Music Sessions:</b>  Keep all clean versions of BBC studio sessions and BBC recordings of festivals, concerts and events where not all the material was broadcast for reuse or commercial exploitation. This applies to all genres of music.<p></p>    • <b>Unique Actuality:</b>  Some unique wildlife actuality, some rural and/or farming related actuality may be selected.<p></p>    • <b>'Bloopers'/funny out-takes:</b><p></p>    There is no legal requirement to retain rushes beyond the agreed retention periods. In the event of legal proceedings, rushes would need to be kept for a further 1 year following the end of the proceedings."
Appraisal_Criteria,Pilot Programmes,"Untransmitted programmes such as pilots not broadcast, have potential use in the future and can reflect BBC policy, commissioning and production techniques."
Appraisal_Criteria,Published AV - Web,"Unique published web assets with historical or reuse value should be archived as individual assets, separate from the other elements that make up the web page, in the highest quality available. This includes:<p></p>    • Specially shot (unique) material which has re-use value outside of its original context. • Extra/extended footage of a linear broadcast (such as Glastonbury). • Unused footage from linear programmes re-edited for online publication. • Any high profile or controversial material. • Interviews with significant / high profile people that provide extra/extended material not shown on linear platforms. • ‘behind-the-scenes’ and ‘making-of’ clips. • Music / hub / live sessions. • Specially commissioned web content.<p></p>    The following material will <b>not</b> be selected for archiving as separate assets:<p></p>    • Studio web cam / live streams of radio programmes. • Non unique content: preview clips, clips sourced from linear TV, Radio or News programmes, complete programmes already shown on linear platforms or on red button. • Vox pops. • Non BBC IPR material e.g. clips from the National Television awards or the Oscars. • Games <p></p>     See the <a href=""https://intranet.gateway.bbc.co.uk/policy/Pages/television-and-published-av-policy.aspx"">Television and Published AV Policy</a>.        "
Appraisal_Criteria,Unpublished AV,"Assets (including titles and graphics) should be retained in line with retention policy if they can be reused for editing, reversioning or use in new series.<p></p>  Assets should only be kept by productions beyond the initial retention period if they have a continuing production reuse value (as described above).<p></p>    Rushes will only be selected to be kept for retention in the central archive if they meet the following selection criteria and where there is significantly more footage than is contained in the final programme:<p></p>    • interviews with key political, cultural and sporting figures; or<p></p>    •  extended performances <p></p>    There is no legal requirement to keep rushes beyond the agreed retention periods. In the event of legal proceedings, rushes would need to be kept for a further 1 year following the end of the proceedings.<p></p>    See  <a href=""https://intranet.gateway.bbc.co.uk/policy/Pages/tv-rushes-and-unpublished-audio-visual-policy.aspx"">Rushes and Unpublished Audio Visual Policy</a> for more information. "
Appraisal_Criteria,Published Audio,All BBC & Independent productions published on Network Radio will be selected for long-term archiving.
Appraisal_Criteria,PACT Images,
Appraisal_Criteria,Stockshots,"Stockshots were archived by I&A where content had potential reuse value across the BBC including:<p></p>     •  Subject no longer available; a demolished building or closed down famous music club; a glacier that has retreated since shooting date. • Rare/inaccessible subjects; •  Shots costing effort/money; aerials, crane shots, tracking shots from boats or trains; time lapse and slow motion; filmed in areas of political instabilty, difficult filming conditions; Arctic, Rainforest canopy. •  Generic locations, activities, transport, generics; recent shots of cities, palm fringed beaches, production lines, aircraft taking off, sunsets. "
Appraisal_Criteria,Tweets,"BBC Twitter accounts will be selected for archiving if they fall into tiers 1 or 2 as defined by the BBC Online Direction Group. Selected examples will also be taken from tier 3. <p></p>    •Tier 1 – c.100 top strategic and pan-BBC accounts (covers 60 BBC services/ brands).   •Tier 2 – 400 key accounts across major programmes, services, genres and local regions.   •Tier 3 – 350 named individuals/ journalists/ presenters.   •Tier 4 – 200+ non-strategic programmes and service accounts, small local genre/ programme accounts, legacy/ mothballed accounts.    "
Appraisal_Criteria,Published AV,All BBC & Independent productions published on Network TV will be selected for long-term archiving.
Appraisal_Criteria,Published AV - Red Button,"Selected examples should be added to the archive. This includes: <p></p>  • Pre-recorded programmes which enhance a linear programme (should include unique material not used in the associated linear programme)   • Live streams which enhance a linear programme (such as Glastonbury)  • Stand alone programmes or one off specials (i.e. red button only, no linear equivalents)   • First and last of new series   • Any new developments in interactivity or major changes to the service  • Any high profile or controversial material   <p></p>  <p></p>    The following material will <b>not</b> be selected for the archive:<p></p>  • Repeats/very similar versions of linear programmes that would be archived already  • Quizzes (except for examples of first/last of any new series)   • Sing-a-longs.   • Games.  "
Appraisal_Criteria,Trails and Interstitials - AV,"Examples will be selected and added to the archive if they meet one of the following criteria:<p></p>  • they promote significant programmes or events (for example the Doctor Who 50th Anniversary and the World Cup);  • they promote seasons of themed programming (for example World War One season);  • they promote seasonal output (for example, Christmas trails);  • they promote new BBC services or products (for example, Playlister); or  • they promote BBC networks or brands.    "
Appraisal_Criteria,Red Button - Streams  ,Select examples that show development of interactive services.    Live streams which enhance a linear programme (such as Glastonbury).     Any new developments in interactivity.     Any high profile or controversial material.     All scripted fiction (drama and comedy).  • All documentary  • Events in which the BBC played a unique and distinctive part in the nation’s coverage (including sports coverage).    See Published AV for more details.
Appraisal_Criteria,News Features ,NOT IN USE - News features will be selected for the archive based on the Archives selection criteria.    
Appraisal_Criteria,eBooks,"Retain all component parts of ebook. Non-proprietary formats are preferred but proprietary formats will be captured where suitable alternatives are not available (e.g. where content is only published on iTunes, .iba files can be captured)"
Appraisal_Criteria,Red Button - Promos ,Useful to show how services looked. Only select if no examples in other formats.
Appraisal_Criteria,Graphics,Retain selected examples of graphics only if not already well represented in the archive.
Appraisal_Criteria,Tasters,
Appraisal_Criteria,Radio News,All BBC & Independent productions published on Network Radio will be selected for long-term archiving.
Appraisal_Criteria,News Actuality,"Select the following for the archive:  • Material related to current news stories and events   • Clean versions of major speeches, press conferences or events.  • Full versions of interviews with significant individuals.  "
Appraisal_Criteria,News Feeds,"• Material related to current news stories and events   • Clean versions of major speeches, press conferences or events.  • Full versions of interviews with significant individuals.  "
Appraisal_Criteria,Television News,All BBC & Independent productions published on Network TV will be selected for long-term archiving.
Appraisal_Criteria,News Rushes and Feeds,"• Material related to current news stories and events   • Clean versions of major speeches, press conferences or events.  • Full versions of interviews with significant individuals.  "
Appraisal_Criteria,News Stills (Non-BBC IPR),"Third party images and UGC (User Generated Content) sourced for news output, or identified as having reuse value, will be selected for the archive. Usage restrictions may apply to third party images. These will be recorded in Elvis.  <p></p>    Third party images will not be selected for long-term archiving for the following reasons:• images are of a substandard technical quality which cannot be enhanced with available software; • images are poorly composed and/or show unflattering poses and expressions; • pictures have been taken solely for production purposes (for example, rostrum camera work); • images are duplicates (unless considered useful for a particular reason); or  • images have been acquired from external sources for one time use only. This applies to the Photo Library only.  "
Appraisal_Criteria,Stills,"Images of artists, guests, talent, music performances and BBC Copyright will be kept in the long term archive. <p></p>  Images will <b>not</b> be selected for long term archiving for the following reasons:<p></p>    • Images of a sub standard technical quality which cannot be enhanced with available software. • Images of poor composition / unflattering poses and expressions. • Pictures taken solely for production purposes e.g. rostrum camera work. •  Duplicate material (unless considered useful for a particular reason). • Material from external sources acquired on the basis of one time use (This applies to the Photo Library only)   "
Appraisal_Criteria,Screencasts,"Screencasts selected for the long term archive should:<p></p>    •  capture examples of the published output of the BBC    • capture the user experience of the service     • demonstrate what selected pages/sites looked like and how they worked    • capture any major site redesigns     • capture high profile or controversial pages     • capture any broadcasting ‘firsts’, e.g. the first web cam     • provide examples of innovations in web content /design     • provide examples of web cam streams    • provide examples of how games and other interactive content looked<p></p>    See the <a href=""https://intranet.gateway.bbc.co.uk/policy/Pages/BBC-Web-Archiving-Policy.aspx"">Web Archiving Policy</a>.    "
Appraisal_Criteria,Continuous News,Retain award winning/nominated or really key stories (e.g. Chilean Miners) for the long term archive
Appraisal_Criteria,Negative Checks,Retain if ongoing issues
Appraisal_Criteria,Press Packs,Retain anything of interest that wouldn't be with the Press Office
Appraisal_Criteria,Staff Surveys,The master copies of the overall BBC Staff Survey need to be retained permanently. 
Appraisal_Criteria,Accident Records,"Retain if part of ongoing legal action, target of enforcement action or if high profile case e.g. Top Gear accident"
Appraisal_Criteria,Incidents - Hazardous Substances,Retain further if individual or dependents are subject of ongoing case. Retain if high profile case or if incident set a precedence
Appraisal_Criteria,Medical Records,Retain if ongoing case
Appraisal_Criteria,Enforcement Actions,Retain if ongoing issue or if precedent.    http://www.hse.gov.uk/enforce/what.htm
Appraisal_Criteria,Programme Research,Retain;  if there are any ongoing legal issues surrounding the subject of the research  if it is primary research of histoical interest    
Appraisal_Criteria,Project Documentation,"Retain records dealing with an important project or a high profile project (e.g. large scale property projects, iPlayer, DMI), have historical value and possibly further business use. Retain records that are connected to ongoing projects."
Appraisal_Criteria,Severance Business Justification Reports,Retain Senior BBC Staff Permanently  
Appraisal_Criteria,Blogs,Blog content will be archived when:  • it is created by significant/high profile individuals;  • it conveys behind-the-scenes of programmes;  • it comments on BBC programmes/events;  • it reflects the experience of working at the BBC including BBC views and culture;  • it is informative either for staff or for our audience; or  • it contains content which has proved to be controversial.<p></p>    Blogs will not be archived if the content:  •is dependent on AV/audio/stills content or links contained within it. Blogs need to be self-contained written assets;  • is not unique;  • lacks specific relevance to the BBC.<p></p>    Blog comments will not be archived.  
Appraisal_Criteria,Reporters (Journalists) Notebooks,"Retention  Notebooks have a 7 years and review status. Legal have advised that there is a limited time of a year from the last date of transmission to raise a libel claim against a programme. This will be covered by the 7 year period.  In a box which contains notebooks from a number of date ranges, the 7 years before review will be taken from the most recent date, i.e. for a box containing books from 2002-2010 the review will take place in 2017.   Review  At the time of review, I&A will check notebooks for subject matter / transcript conversations, etc. - anything which could help defend a libel claim in the future.  These notebooks will be kept for an extended amount of time.  If a journalist asks that a notebook is kept, this request will be taken into consideration.  Following appraisal any notebooks not to be retained permanently will be offered back to the journalist concerned (if possible)  Access  Access to notebooks can be restricted, but the relevant news department must be referenced in the deposit form notes field, in case the journalist responsible for the notebook leaves the BBC.  When notebooks are ordered, journalists will receive the entire box that was originally deposited with I&A.  I&A ask that these boxes are returned with the correct material as soon as they are no longer needed.  If a journalist leaves the BBC and requests the return of notebooks that have yet to reach the end of their retention period then Editorial Legal and Newsgathering Management should be involved in the decision to release or not. If the notebooks are beyond the retention period and have not been appraised then they should be reviewed as above (Review) and a decision made accordingly. Editorial Legal and Newsgathering Management should be informed as they may have a view.  "
